antecedents,consequents,support,confidence,lift,leverage,conviction
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE BEDROOM,0.0106,0.827,53.9529,0.010358,5.6908
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM,0.0106,0.6886,53.9529,0.010358,3.1699
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM,0.0114,0.661,51.7948,0.011178,2.9124
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,0.0114,0.8931,51.7948,0.011178,9.1958
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.0131,0.8538,49.5148,0.012823,6.7226
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.0131,0.7589,49.5148,0.012823,4.0849
SET/6 RED SPOTTY PAPER PLATES,SET/6 RED SPOTTY PAPER CUPS,0.011,0.6634,46.748,0.010773,2.9288
SET/6 RED SPOTTY PAPER CUPS,SET/6 RED SPOTTY PAPER PLATES,0.011,0.7757,46.748,0.010773,4.3852
"KEY FOB , BACK DOOR","KEY FOB , FRONT  DOOR",0.0102,0.5546,42.5877,0.009989,2.2158
"KEY FOB , FRONT  DOOR","KEY FOB , BACK DOOR",0.0102,0.7855,42.5877,0.009989,4.5768
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN,0.0108,0.5458,40.4961,0.010578,2.1718
WOODEN TREE CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0108,0.8048,40.4961,0.010578,5.0216
"KEY FOB , SHED","KEY FOB , GARAGE DESIGN",0.0102,0.4869,37.3876,0.009956,1.9234
"KEY FOB , GARAGE DESIGN","KEY FOB , SHED",0.0102,0.7855,37.3876,0.009956,4.5648
RED STRIPE CERAMIC DRAWER KNOB,BLUE STRIPE CERAMIC DRAWER KNOB,0.0114,0.6654,35.6357,0.01111,2.9329
BLUE STRIPE CERAMIC DRAWER KNOB,RED STRIPE CERAMIC DRAWER KNOB,0.0114,0.6122,35.6357,0.01111,2.5342
"KEY FOB , BACK DOOR","KEY FOB , SHED",0.0134,0.7254,34.5232,0.012992,3.5645
"KEY FOB , SHED","KEY FOB , BACK DOOR",0.0134,0.6368,34.5232,0.012992,2.7024
FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL,0.0113,0.6056,34.4066,0.010941,2.4908
FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,0.0113,0.6402,34.4066,0.010941,2.7278
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",PINK REGENCY TEACUP AND SAUCER,0.0105,0.7216,33.7706,0.01021,3.5152
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.0105,0.4924,33.7706,0.01021,1.9413
KITCHEN METAL SIGN,"BATHROOM METAL SIGN, TOILET METAL SIGN",0.0102,0.6046,33.7287,0.009926,2.4838
"BATHROOM METAL SIGN, TOILET METAL SIGN",KITCHEN METAL SIGN,0.0102,0.5707,33.7287,0.009926,2.2897
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.0152,0.7128,33.357,0.014774,3.4071
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.0152,0.7128,33.357,0.014774,3.4071
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.0152,0.5671,33.1377,0.014771,2.2705
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.0152,0.8899,33.1377,0.014771,8.8422
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.0105,0.3918,32.7837,0.010201,1.6245
"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",GREEN REGENCY TEACUP AND SAUCER,0.0105,0.8804,32.7837,0.010201,8.139
"BATHROOM METAL SIGN, KITCHEN METAL SIGN",TOILET METAL SIGN,0.0102,0.7482,32.5893,0.009915,3.8805
TOILET METAL SIGN,"BATHROOM METAL SIGN, KITCHEN METAL SIGN",0.0102,0.4455,32.5893,0.009915,1.7789
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,0.0142,0.7141,32.3837,0.013753,3.42
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0142,0.6436,32.3837,0.013753,2.75
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION BUTTERFLY,0.0139,0.659,31.218,0.013422,2.8702
FELTCRAFT CUSHION BUTTERFLY,FELTCRAFT CUSHION RABBIT,0.0139,0.6569,31.218,0.013422,2.8535
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.0179,0.6651,31.1241,0.017287,2.9218
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.0179,0.8359,31.1241,0.017287,5.929
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.0149,0.6181,30.4046,0.014384,2.5651
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.0149,0.7316,30.4046,0.014384,3.6365
PINK REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",0.0103,0.4818,30.0921,0.009952,1.8987
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.0103,0.643,30.0921,0.009952,2.7413
PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,0.0122,0.5214,29.5712,0.011829,2.0527
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,0.0122,0.6943,29.5712,0.011829,3.1943
TOILET METAL SIGN,KITCHEN METAL SIGN,0.0114,0.4979,29.4274,0.011042,1.9579
KITCHEN METAL SIGN,TOILET METAL SIGN,0.0114,0.6756,29.4274,0.011042,3.0121
"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,0.0103,0.8614,28.9273,0.009938,7.0008
ROSES REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.0103,0.3457,28.9273,0.009938,1.5101
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.0152,0.8527,28.6356,0.014698,6.5879
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.0152,0.5115,28.6356,0.014698,2.0103
"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.0122,0.7627,28.3989,0.01178,4.1005
GREEN REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, ROSES REGENCY TEACUP AND SAUCER",0.0122,0.4547,28.3989,0.01178,1.8043
EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL RED,0.0104,0.4762,28.1996,0.010023,1.8769
EDWARDIAN PARASOL RED,EDWARDIAN PARASOL BLACK,0.0104,0.6154,28.1996,0.010023,2.5433
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.0122,0.41,28.1215,0.011776,1.6703
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",ROSES REGENCY TEACUP AND SAUCER,0.0122,0.8374,28.1215,0.011776,5.9675
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG PINK POLKADOT,0.0111,0.4548,27.4602,0.010702,1.8038
CHARLOTTE BAG PINK POLKADOT,RED RETROSPOT CHARLOTTE BAG,0.0111,0.6706,27.4602,0.010702,2.9616
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.0171,0.5747,26.8956,0.016477,2.301
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0171,0.8009,26.8956,0.016477,4.8733
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.0214,0.7956,26.7188,0.020568,4.7478
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.0214,0.7176,26.7188,0.020568,3.4455
"KITCHEN METAL SIGN, TOILET METAL SIGN",BATHROOM METAL SIGN,0.0102,0.8949,26.6768,0.009846,9.1944
BATHROOM METAL SIGN,"KITCHEN METAL SIGN, TOILET METAL SIGN",0.0102,0.3049,26.6768,0.009846,1.4223
FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION RABBIT,0.013,0.5473,26.0098,0.012459,2.1626
FELTCRAFT CUSHION RABBIT,FELTCRAFT CUSHION OWL,0.013,0.6157,26.0098,0.012459,2.5408
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,0.016,0.6209,25.2245,0.015375,2.5729
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.016,0.6504,25.2245,0.015375,2.7866
FELTCRAFT DOLL MOLLY,FELTCRAFT DOLL ROSIE,0.0102,0.5032,25.1548,0.009823,1.9726
FELTCRAFT DOLL ROSIE,FELTCRAFT DOLL MOLLY,0.0102,0.5114,25.1548,0.009823,2.0049
FELTCRAFT CUSHION OWL,FELTCRAFT CUSHION BUTTERFLY,0.0123,0.5213,24.695,0.01184,2.0447
FELTCRAFT CUSHION BUTTERFLY,FELTCRAFT CUSHION OWL,0.0123,0.5846,24.695,0.01184,2.3504
BATHROOM METAL SIGN,KITCHEN METAL SIGN,0.0137,0.4076,24.0885,0.013104,1.6594
KITCHEN METAL SIGN,BATHROOM METAL SIGN,0.0137,0.8081,24.0885,0.013104,5.0352
BATHROOM METAL SIGN,TOILET METAL SIGN,0.0179,0.5344,23.2748,0.017155,2.0983
TOILET METAL SIGN,BATHROOM METAL SIGN,0.0179,0.7808,23.2748,0.017155,4.4083
EDWARDIAN PARASOL NATURAL,EDWARDIAN PARASOL BLACK,0.0118,0.4758,21.804,0.011278,1.8661
EDWARDIAN PARASOL BLACK,EDWARDIAN PARASOL NATURAL,0.0118,0.5417,21.804,0.011278,2.1276
RED  HARMONICA IN BOX,BLUE HARMONICA IN BOX,0.0108,0.4691,21.2747,0.010336,1.8421
BLUE HARMONICA IN BOX,RED  HARMONICA IN BOX,0.0108,0.4919,21.2747,0.010336,1.9226
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE RED,0.0124,0.6865,21.1397,0.011787,3.0861
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE IVORY,0.0124,0.381,21.1397,0.011787,1.5864
HAND WARMER OWL DESIGN,"HAND WARMER BIRD DESIGN, HAND WARMER SCOTTY DOG DESIGN",0.0101,0.3073,20.8904,0.009616,1.4224
"HAND WARMER BIRD DESIGN, HAND WARMER SCOTTY DOG DESIGN",HAND WARMER OWL DESIGN,0.0101,0.6865,20.8904,0.009616,3.0853
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.0197,0.608,20.5068,0.018781,2.4754
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.0197,0.6659,20.5068,0.018781,2.8962
HAND WARMER SCOTTY DOG DESIGN,"HAND WARMER BIRD DESIGN, HAND WARMER OWL DESIGN",0.0101,0.3399,20.4027,0.009604,1.4897
"HAND WARMER BIRD DESIGN, HAND WARMER OWL DESIGN",HAND WARMER SCOTTY DOG DESIGN,0.0101,0.6062,20.4027,0.009604,2.4641
"HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN",HAND WARMER BIRD DESIGN,0.0101,0.5824,20.3568,0.009603,2.3261
HAND WARMER BIRD DESIGN,"HAND WARMER OWL DESIGN, HAND WARMER SCOTTY DOG DESIGN",0.0101,0.353,20.3568,0.009603,1.5188
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE IVORY,0.0108,0.3647,20.237,0.010279,1.5458
ALARM CLOCK BAKELIKE IVORY,ALARM CLOCK BAKELIKE GREEN,0.0108,0.6,20.237,0.010279,2.4259
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE PINK,0.0134,0.414,20.204,0.012779,1.6715
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED,0.0134,0.6561,20.204,0.012779,2.8134
HAND WARMER RED RETROSPOT,HAND WARMER UNION JACK,0.0104,0.4961,19.6371,0.009862,1.9345
HAND WARMER UNION JACK,HAND WARMER RED RETROSPOT,0.0104,0.4113,19.6371,0.009862,1.6631
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.0118,0.5753,19.4032,0.01118,2.2847
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK,0.0118,0.3976,19.4032,0.01118,1.626
RED KITCHEN SCALES,IVORY KITCHEN SCALES,0.0116,0.562,19.1656,0.011019,2.2162
IVORY KITCHEN SCALES,RED KITCHEN SCALES,0.0116,0.3965,19.1656,0.011019,1.6226
PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN STRONGMAN,0.0101,0.4095,19.1649,0.009542,1.6573
PLASTERS IN TIN STRONGMAN,PLASTERS IN TIN CIRCUS PARADE,0.0101,0.4711,19.1649,0.009542,1.8443
LUNCH BAG PINK POLKADOT,"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",0.0112,0.3422,18.5216,0.010629,1.4922
"LUNCH BAG  BLACK SKULL., LUNCH BAG RED RETROSPOT",LUNCH BAG PINK POLKADOT,0.0112,0.6081,18.5216,0.010629,2.4678
SET OF 3 HEART COOKIE CUTTERS,SET OF 3 BUTTERFLY COOKIE CUTTERS,0.0116,0.4217,18.0097,0.01098,1.6886
SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS,0.0116,0.4965,18.0097,0.01098,1.9315
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN SPACEBOY,0.0122,0.4993,17.8175,0.011494,1.9414
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN WOODLAND ANIMALS,0.0122,0.4345,17.8175,0.011494,1.7253
HAND WARMER OWL DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.0173,0.5277,17.7585,0.016365,2.0542
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER OWL DESIGN,0.0173,0.5836,17.7585,0.016365,2.3227
HAND WARMER OWL DESIGN,HAND WARMER BIRD DESIGN,0.0167,0.5069,17.7185,0.015719,1.97
HAND WARMER BIRD DESIGN,HAND WARMER OWL DESIGN,0.0167,0.5823,17.7185,0.015719,2.3153
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER RED RETROSPOT,0.0108,0.365,17.4274,0.010224,1.5419
HAND WARMER RED RETROSPOT,HAND WARMER SCOTTY DOG DESIGN,0.0108,0.5178,17.4274,0.010224,2.0123
LUNCH BAG PINK RETROSPOT,LUNCH BAG RED SPOTTY,0.0117,0.5342,17.3717,0.010987,2.0809
LUNCH BAG RED SPOTTY,LUNCH BAG PINK RETROSPOT,0.0117,0.3791,17.3717,0.010987,1.5754
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER BIRD DESIGN,0.0147,0.4951,17.3048,0.013861,1.9239
HAND WARMER BIRD DESIGN,HAND WARMER SCOTTY DOG DESIGN,0.0147,0.5142,17.3048,0.013861,1.9972
PLASTERS IN TIN CIRCUS PARADE,PLASTERS IN TIN SPACEBOY,0.0118,0.4782,17.0635,0.011067,1.8627
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN CIRCUS PARADE,0.0118,0.4195,17.0635,0.011067,1.6802
PLASTERS IN TIN SKULLS,PLASTERS IN TIN WOODLAND ANIMALS,0.0106,0.4088,16.7626,0.009924,1.6502
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN SKULLS,0.0106,0.4328,16.7626,0.009924,1.7174
HAND WARMER OWL DESIGN,HAND WARMER RED RETROSPOT,0.0115,0.3508,16.7477,0.01084,1.5081
HAND WARMER RED RETROSPOT,HAND WARMER OWL DESIGN,0.0115,0.5504,16.7477,0.01084,2.151
RED RETROSPOT CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.0107,0.4362,16.3998,0.010002,1.7264
CHARLOTTE BAG SUKI DESIGN,RED RETROSPOT CHARLOTTE BAG,0.0107,0.4005,16.3998,0.010002,1.6273
HANGING HEART ZINC T-LIGHT HOLDER,SINGLE HEART ZINC T-LIGHT HOLDER,0.0141,0.4045,16.2815,0.013228,1.6375
SINGLE HEART ZINC T-LIGHT HOLDER,HANGING HEART ZINC T-LIGHT HOLDER,0.0141,0.5673,16.2815,0.013228,2.2306
LUNCH BAG SUKI DESIGN,LUNCH BAG APPLE DESIGN,0.0107,0.3935,16.2667,0.010027,1.609
LUNCH BAG APPLE DESIGN,LUNCH BAG SUKI DESIGN,0.0107,0.4416,16.2667,0.010027,1.7422
STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG,0.0112,0.391,16.16,0.010541,1.6022
WOODLAND CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.0112,0.4644,16.16,0.010541,1.8135
CHARLOTTE BAG SUKI DESIGN,WOODLAND CHARLOTTE BAG,0.0104,0.3895,16.0997,0.009716,1.5984
WOODLAND CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.0104,0.4282,16.0997,0.009716,1.7023
LUNCH BAG RED RETROSPOT,"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",0.0112,0.2588,15.2665,0.0105,1.3263
"LUNCH BAG  BLACK SKULL., LUNCH BAG PINK POLKADOT",LUNCH BAG RED RETROSPOT,0.0112,0.6628,15.2665,0.0105,2.8371
PINK BLUE FELT CRAFT TRINKET BOX,PINK CREAM FELT CRAFT TRINKET BOX,0.0176,0.5791,15.2276,0.016445,2.2853
PINK CREAM FELT CRAFT TRINKET BOX,PINK BLUE FELT CRAFT TRINKET BOX,0.0176,0.4629,15.2276,0.016445,1.8051
HAND WARMER OWL DESIGN,HAND WARMER UNION JACK,0.0126,0.3824,15.1362,0.011737,1.5783
HAND WARMER UNION JACK,HAND WARMER OWL DESIGN,0.0126,0.4974,15.1362,0.011737,1.9244
PLASTERS IN TIN VINTAGE PAISLEY,PLASTERS IN TIN WOODLAND ANIMALS,0.0102,0.3673,15.0588,0.00952,1.5419
PLASTERS IN TIN WOODLAND ANIMALS,PLASTERS IN TIN VINTAGE PAISLEY,0.0102,0.4181,15.0588,0.00952,1.6708
WOOD 2 DRAWER CABINET WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH,0.016,0.4754,14.9691,0.01494,1.8457
WOOD S/3 CABINET ANT WHITE FINISH,WOOD 2 DRAWER CABINET WHITE FINISH,0.016,0.5041,14.9691,0.01494,1.9486
WOODEN PICTURE FRAME WHITE FINISH,"WOOD 2 DRAWER CABINET WHITE FINISH, WOODEN FRAME ANTIQUE WHITE",0.0116,0.2218,14.9134,0.010786,1.2659
"WOOD 2 DRAWER CABINET WHITE FINISH, WOODEN FRAME ANTIQUE WHITE",WOODEN PICTURE FRAME WHITE FINISH,0.0116,0.7773,14.9134,0.010786,4.2562
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN SKULLS,0.0107,0.3812,14.7667,0.00996,1.5744
PLASTERS IN TIN SKULLS,PLASTERS IN TIN SPACEBOY,0.0107,0.4138,14.7667,0.00996,1.6582
RED RETROSPOT CHARLOTTE BAG,STRAWBERRY CHARLOTTE BAG,0.0103,0.4215,14.6678,0.009592,1.6791
STRAWBERRY CHARLOTTE BAG,RED RETROSPOT CHARLOTTE BAG,0.0103,0.3582,14.6678,0.009592,1.52
HAND WARMER UNION JACK,HAND WARMER SCOTTY DOG DESIGN,0.011,0.4357,14.6644,0.010258,1.7196
HAND WARMER SCOTTY DOG DESIGN,HAND WARMER UNION JACK,0.011,0.3705,14.6644,0.010258,1.5484
"WOOD 2 DRAWER CABINET WHITE FINISH, WOODEN PICTURE FRAME WHITE FINISH",WOODEN FRAME ANTIQUE WHITE,0.0116,0.7911,14.2049,0.010747,4.5206
WOODEN FRAME ANTIQUE WHITE,"WOOD 2 DRAWER CABINET WHITE FINISH, WOODEN PICTURE FRAME WHITE FINISH",0.0116,0.2076,14.2049,0.010747,1.2435
CHARLOTTE BAG SUKI DESIGN,STRAWBERRY CHARLOTTE BAG,0.0107,0.4017,13.9777,0.00992,1.6234
STRAWBERRY CHARLOTTE BAG,CHARLOTTE BAG SUKI DESIGN,0.0107,0.3718,13.9777,0.00992,1.5494
HAND WARMER UNION JACK,HAND WARMER BIRD DESIGN,0.0101,0.3985,13.9275,0.009344,1.6148
HAND WARMER BIRD DESIGN,HAND WARMER UNION JACK,0.0101,0.3519,13.9275,0.009344,1.5039
PLASTERS IN TIN VINTAGE PAISLEY,PLASTERS IN TIN SPACEBOY,0.0108,0.3895,13.8974,0.010036,1.592
PLASTERS IN TIN SPACEBOY,PLASTERS IN TIN VINTAGE PAISLEY,0.0108,0.3859,13.8974,0.010036,1.5831
PACK OF 60 SPACEBOY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.0111,0.4541,13.8852,0.010276,1.7718
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,0.0111,0.3386,13.8852,0.010276,1.4751
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE I AM SO POORLY,0.0149,0.3348,13.3543,0.013819,1.4656
HOT WATER BOTTLE I AM SO POORLY,CHOCOLATE HOT WATER BOTTLE,0.0149,0.5959,13.3543,0.013819,2.364
VINTAGE HEADS AND TAILS CARD GAME,VINTAGE SNAP CARDS,0.018,0.5925,13.0795,0.016615,2.3429
VINTAGE SNAP CARDS,VINTAGE HEADS AND TAILS CARD GAME,0.018,0.3971,13.0795,0.016615,1.6084
LUNCH BAG RED RETROSPOT,LUNCH BAG PINK POLKADOT,0.0184,0.4241,12.9171,0.016987,1.6794
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,0.0184,0.5608,12.9171,0.016987,2.1782
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,0.0246,0.4579,12.8774,0.022644,1.7791
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,0.0246,0.6904,12.8774,0.022644,3.0569
3 STRIPEY MICE FELTCRAFT,FELTCRAFT BUTTERFLY HEARTS,0.0104,0.4108,12.8423,0.009582,1.6429
FELTCRAFT BUTTERFLY HEARTS,3 STRIPEY MICE FELTCRAFT,0.0104,0.3249,12.8423,0.009582,1.4437
BAKING SET SPACEBOY DESIGN,BAKING SET 9 PIECE RETROSPOT,0.015,0.6127,12.8357,0.013834,2.4589
BAKING SET 9 PIECE RETROSPOT,BAKING SET SPACEBOY DESIGN,0.015,0.3143,12.8357,0.013834,1.4226
