antecedents,consequents,support,confidence,lift,leverage,conviction
JUMBO BAG SCANDINAVIAN PAISLEY,JUMBO BAG PINK VINTAGE PAISLEY,0.0102,0.4673,12.8243,0.009402,1.8087
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG SCANDINAVIAN PAISLEY,0.0102,0.2799,12.8243,0.009402,1.3583
LUNCH BAG WOODLAND,"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",0.0114,0.2634,12.5344,0.010459,1.329
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG WOODLAND,0.0114,0.541,12.5344,0.010459,2.0844
WOODEN PICTURE FRAME WHITE FINISH,"WHITE HANGING HEART T-LIGHT HOLDER, WOODEN FRAME ANTIQUE WHITE",0.0139,0.2673,12.49,0.012816,1.3356
"WHITE HANGING HEART T-LIGHT HOLDER, WOODEN FRAME ANTIQUE WHITE",WOODEN PICTURE FRAME WHITE FINISH,0.0139,0.651,12.49,0.012816,2.7159
LUNCH BAG SUKI DESIGN,LUNCH BAG PINK POLKADOT,0.0108,0.3983,12.1326,0.009922,1.6075
LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI DESIGN,0.0108,0.3294,12.1326,0.009922,1.4507
"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE",LUNCH BAG WOODLAND,0.0119,0.5148,11.9286,0.010859,1.9721
LUNCH BAG WOODLAND,"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE",0.0119,0.2746,11.9286,0.010859,1.3469
"WHITE HANGING HEART T-LIGHT HOLDER, WOODEN PICTURE FRAME WHITE FINISH",WOODEN FRAME ANTIQUE WHITE,0.0139,0.653,11.7245,0.012743,2.7211
WOODEN FRAME ANTIQUE WHITE,"WHITE HANGING HEART T-LIGHT HOLDER, WOODEN PICTURE FRAME WHITE FINISH",0.0139,0.2501,11.7245,0.012743,1.3051
PACK OF 72 SKULL CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.0128,0.3788,11.5851,0.01169,1.5573
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 72 SKULL CAKE CASES,0.0128,0.3913,11.5851,0.01169,1.5873
FELTCRAFT 6 FLOWER FRIENDS,FELTCRAFT BUTTERFLY HEARTS,0.0135,0.3686,11.5223,0.012307,1.533
FELTCRAFT BUTTERFLY HEARTS,FELTCRAFT 6 FLOWER FRIENDS,0.0135,0.4213,11.5223,0.012307,1.6649
3 STRIPEY MICE FELTCRAFT,FELTCRAFT 6 FLOWER FRIENDS,0.0105,0.4159,11.3746,0.009597,1.6495
FELTCRAFT 6 FLOWER FRIENDS,3 STRIPEY MICE FELTCRAFT,0.0105,0.2877,11.3746,0.009597,1.3685
LUNCH BAG WOODLAND,"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",0.0116,0.2694,11.3477,0.010601,1.3362
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",LUNCH BAG WOODLAND,0.0116,0.4897,11.3477,0.010601,1.8752
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,0.0133,0.3067,11.2957,0.012136,1.4031
LUNCH BAG SUKI DESIGN,LUNCH BAG RED RETROSPOT,0.0133,0.4904,11.2957,0.012136,1.8772
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.0127,0.3686,11.2724,0.011541,1.532
PACK OF 60 DINOSAUR CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.0127,0.3873,11.2724,0.011541,1.576
COOK WITH WINE METAL SIGN,GIN + TONIC DIET METAL SIGN,0.0179,0.4821,11.128,0.016285,1.8471
GIN + TONIC DIET METAL SIGN,COOK WITH WINE METAL SIGN,0.0179,0.413,11.128,0.016285,1.6405
HAND OVER THE CHOCOLATE   SIGN,CHOCOLATE THIS WAY METAL SIGN,0.011,0.269,11.0886,0.010045,1.3348
CHOCOLATE THIS WAY METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.011,0.4552,11.0886,0.010045,1.76
"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,0.0119,0.5831,11.0153,0.010777,2.2715
LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND",0.0119,0.2239,11.0153,0.010777,1.2623
HEART OF WICKER LARGE,"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",0.0109,0.1957,10.8971,0.00991,1.221
"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER LARGE,0.0109,0.6076,10.8971,0.00991,2.4063
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.0192,0.486,10.8932,0.01746,1.8589
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.0192,0.4309,10.8932,0.01746,1.6875
WOOD 2 DRAWER CABINET WHITE FINISH,"WOODEN FRAME ANTIQUE WHITE, WOODEN PICTURE FRAME WHITE FINISH",0.0116,0.3433,10.876,0.010498,1.4747
"WOODEN FRAME ANTIQUE WHITE, WOODEN PICTURE FRAME WHITE FINISH",WOOD 2 DRAWER CABINET WHITE FINISH,0.0116,0.3663,10.876,0.010498,1.5248
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.0316,0.5668,10.8741,0.028662,2.1879
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.0316,0.6056,10.8741,0.028662,2.3943
LUNCH BAG SUKI  DESIGN,LUNCH BAG RED SPOTTY,0.0105,0.3309,10.7612,0.009485,1.4487
LUNCH BAG RED SPOTTY,LUNCH BAG SUKI  DESIGN,0.0105,0.34,10.7612,0.009485,1.4673
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SPACEBOY DESIGN,0.0145,0.5856,10.7407,0.013194,2.2817
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG DOLLY GIRL DESIGN,0.0145,0.2668,10.7407,0.013194,1.33
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.0215,0.5602,10.6612,0.019452,2.1541
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.0215,0.4085,10.6612,0.019452,1.6259
HOT WATER BOTTLE TEA AND SYMPATHY,HOT WATER BOTTLE I AM SO POORLY,0.0106,0.2668,10.6435,0.009562,1.3297
HOT WATER BOTTLE I AM SO POORLY,HOT WATER BOTTLE TEA AND SYMPATHY,0.0106,0.421,10.6435,0.009562,1.6588
LUNCH BAG CARS BLUE,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND",0.0114,0.2147,10.5123,0.010285,1.2474
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND",LUNCH BAG CARS BLUE,0.0114,0.5564,10.5123,0.010285,2.1351
"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND",LUNCH BAG SPACEBOY DESIGN,0.0116,0.5719,10.4888,0.010517,2.2085
LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG WOODLAND",0.0116,0.2132,10.4888,0.010517,1.2452
LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG CARS BLUE, LUNCH BAG WOODLAND",0.0114,0.2085,10.404,0.010273,1.238
"LUNCH BAG CARS BLUE, LUNCH BAG WOODLAND",LUNCH BAG SPACEBOY DESIGN,0.0114,0.5673,10.404,0.010273,2.1849
LUNCH BAG APPLE DESIGN,LUNCH BAG RED RETROSPOT,0.0108,0.447,10.2949,0.009763,1.7297
LUNCH BAG RED RETROSPOT,LUNCH BAG APPLE DESIGN,0.0108,0.2491,10.2949,0.009763,1.2995
HAND OVER THE CHOCOLATE   SIGN,COOK WITH WINE METAL SIGN,0.0157,0.3813,10.2735,0.014129,1.5564
COOK WITH WINE METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.0157,0.4217,10.2735,0.014129,1.6582
60 TEATIME FAIRY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.017,0.3295,10.0775,0.015269,1.4428
PACK OF 60 DINOSAUR CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.017,0.5184,10.0775,0.015269,1.9695
LUNCH BAG  BLACK SKULL.,"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",0.0112,0.1822,9.8954,0.0101,1.2003
"LUNCH BAG PINK POLKADOT, LUNCH BAG RED RETROSPOT",LUNCH BAG  BLACK SKULL.,0.0112,0.6102,9.8954,0.0101,2.4074
RETROSPOT HEART HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.0105,0.4312,9.6579,0.009403,1.6797
SCOTTIE DOG HOT WATER BOTTLE,RETROSPOT HEART HOT WATER BOTTLE,0.0105,0.2349,9.6579,0.009403,1.2752
PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 60 DINOSAUR CAKE CASES,0.0143,0.3148,9.6258,0.012833,1.4117
PACK OF 60 DINOSAUR CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.0143,0.4379,9.6258,0.012833,1.6982
"LUNCH BAG CARS BLUE, LUNCH BAG WOODLAND",LUNCH BAG  BLACK SKULL.,0.0119,0.5916,9.5929,0.010617,2.2974
LUNCH BAG  BLACK SKULL.,"LUNCH BAG CARS BLUE, LUNCH BAG WOODLAND",0.0119,0.1922,9.5929,0.010617,1.2131
HAND OVER THE CHOCOLATE   SIGN,NO SINGING METAL SIGN,0.012,0.2911,9.5681,0.010701,1.3678
NO SINGING METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.012,0.3927,9.5681,0.010701,1.5792
LUNCH BAG RED RETROSPOT,LUNCH BAG DOLLY GIRL DESIGN,0.0102,0.2356,9.4838,0.009151,1.2757
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG RED RETROSPOT,0.0102,0.4118,9.4838,0.009151,1.6262
60 TEATIME FAIRY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.0168,0.3258,9.4815,0.014989,1.4322
72 SWEETHEART FAIRY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.0168,0.4877,9.4815,0.014989,1.8516
JUMBO BAG STRAWBERRY,"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",0.01,0.214,9.4814,0.008976,1.2435
"JUMBO BAG RED RETROSPOT, JUMBO STORAGE BAG SUKI",JUMBO BAG STRAWBERRY,0.01,0.4446,9.4814,0.008976,1.7161
COOK WITH WINE METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.0152,0.4086,9.4741,0.013565,1.6179
PLEASE ONE PERSON METAL SIGN,COOK WITH WINE METAL SIGN,0.0152,0.3517,9.4741,0.013565,1.4851
HEART OF WICKER SMALL,"HEART OF WICKER LARGE, WHITE HANGING HEART T-LIGHT HOLDER",0.0109,0.1953,9.3555,0.009745,1.2168
"HEART OF WICKER LARGE, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER SMALL,0.0109,0.5226,9.3555,0.009745,1.9775
HOME BUILDING BLOCK WORD,LOVE BUILDING BLOCK WORD,0.0248,0.4334,9.2543,0.022129,1.6821
LOVE BUILDING BLOCK WORD,HOME BUILDING BLOCK WORD,0.0248,0.5298,9.2543,0.022129,2.0051
PACK OF 60 SPACEBOY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.0116,0.4754,9.2414,0.010339,1.808
60 TEATIME FAIRY CAKE CASES,PACK OF 60 SPACEBOY CAKE CASES,0.0116,0.2254,9.2414,0.010339,1.2595
LUNCH BAG SPACEBOY DESIGN,"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE",0.0116,0.2126,9.235,0.010338,1.2408
"LUNCH BAG  BLACK SKULL., LUNCH BAG CARS BLUE",LUNCH BAG SPACEBOY DESIGN,0.0116,0.5035,9.235,0.010338,1.9044
LUNCH BAG  BLACK SKULL.,"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND",0.0116,0.1885,9.2294,0.010366,1.2071
"LUNCH BAG SPACEBOY DESIGN, LUNCH BAG WOODLAND",LUNCH BAG  BLACK SKULL.,0.0116,0.5692,9.2294,0.010366,2.1779
LUNCH BAG CARS BLUE,"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",0.0116,0.219,9.2263,0.010337,1.25
"LUNCH BAG  BLACK SKULL., LUNCH BAG SPACEBOY DESIGN",LUNCH BAG CARS BLUE,0.0116,0.4884,9.2263,0.010337,1.8511
GIN + TONIC DIET METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.0163,0.3771,9.1861,0.014556,1.5394
HAND OVER THE CHOCOLATE   SIGN,GIN + TONIC DIET METAL SIGN,0.0163,0.3979,9.1861,0.014556,1.589
60 TEATIME FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.0213,0.4141,9.1028,0.018963,1.6292
PACK OF 60 PINK PAISLEY CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.0213,0.4682,9.1028,0.018963,1.7838
JUMBO BAG SPACEBOY DESIGN,JUMBO STORAGE BAG SUKI,0.0133,0.4767,9.1016,0.011851,1.811
JUMBO STORAGE BAG SUKI,JUMBO BAG SPACEBOY DESIGN,0.0133,0.2542,9.1016,0.011851,1.3034
ASSORTED COLOUR BIRD ORNAMENT,PAINTED METAL PEARS ASSORTED,0.0162,0.2002,9.0777,0.014419,1.2227
PAINTED METAL PEARS ASSORTED,ASSORTED COLOUR BIRD ORNAMENT,0.0162,0.7349,9.0777,0.014419,3.4668
JUMBO STORAGE BAG SKULLS,JUMBO STORAGE BAG SUKI,0.0147,0.4739,9.0474,0.013114,1.8012
JUMBO STORAGE BAG SUKI,JUMBO STORAGE BAG SKULLS,0.0147,0.2815,9.0474,0.013114,1.3484
GIN + TONIC DIET METAL SIGN,NO SINGING METAL SIGN,0.0119,0.2751,9.0414,0.0106,1.3375
NO SINGING METAL SIGN,GIN + TONIC DIET METAL SIGN,0.0119,0.3917,9.0414,0.0106,1.5726
LUNCH BAG  BLACK SKULL.,"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",0.0116,0.188,8.9476,0.010297,1.2056
"LUNCH BAG CARS BLUE, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG  BLACK SKULL.,0.0116,0.5518,8.9476,0.010297,2.0935
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.0278,0.4971,8.9152,0.024651,1.8776
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.0278,0.498,8.9152,0.024651,1.8806
PACK OF 60 PINK PAISLEY CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.0139,0.3055,8.8917,0.012336,1.3904
72 SWEETHEART FAIRY CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.0139,0.4045,8.8917,0.012336,1.603
PLEASE ONE PERSON METAL SIGN,LADIES & GENTLEMEN METAL SIGN,0.0106,0.2462,8.8685,0.009422,1.2898
LADIES & GENTLEMEN METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.0106,0.3825,8.8685,0.009422,1.5495
WOODEN BOX OF DOMINOES,VINTAGE SNAP CARDS,0.0103,0.4,8.8298,0.0091,1.5912
VINTAGE SNAP CARDS,WOODEN BOX OF DOMINOES,0.0103,0.2265,8.8298,0.0091,1.2597
LUNCH BAG CARS BLUE,LUNCH BAG WOODLAND,0.02,0.3785,8.7708,0.017752,1.5396
LUNCH BAG WOODLAND,LUNCH BAG CARS BLUE,0.02,0.4643,8.7708,0.017752,1.7678
WICKER STAR,HEART OF WICKER LARGE,0.0112,0.4879,8.7512,0.009894,1.844
HEART OF WICKER LARGE,WICKER STAR,0.0112,0.2003,8.7512,0.009894,1.2219
LUNCH BAG SUKI  DESIGN,LUNCH BAG SPACEBOY DESIGN,0.015,0.4748,8.7085,0.01328,1.8003
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI  DESIGN,0.015,0.2752,8.7085,0.01328,1.336
JUMBO BAG OWLS,JUMBO STORAGE BAG SUKI,0.0124,0.4558,8.7026,0.01098,1.7415
JUMBO STORAGE BAG SUKI,JUMBO BAG OWLS,0.0124,0.2368,8.7026,0.01098,1.2747
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.0204,0.4733,8.6804,0.018073,1.7951
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.0204,0.3746,8.6804,0.018073,1.53
LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,0.0149,0.2822,8.5958,0.0132,1.3474
LUNCH BAG PINK POLKADOT,LUNCH BAG CARS BLUE,0.0149,0.455,8.5958,0.0132,1.7377
PACK OF 72 SKULL CAKE CASES,72 SWEETHEART FAIRY CAKE CASES,0.01,0.2952,8.5918,0.008809,1.3701
72 SWEETHEART FAIRY CAKE CASES,PACK OF 72 SKULL CAKE CASES,0.01,0.2902,8.5918,0.008809,1.3612
"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY",JUMBO STORAGE BAG SUKI,0.01,0.4427,8.4515,0.008847,1.7004
JUMBO STORAGE BAG SUKI,"JUMBO BAG RED RETROSPOT, JUMBO BAG STRAWBERRY",0.01,0.1916,8.4515,0.008847,1.2089
LUNCH BAG PINK POLKADOT,LUNCH BAG  BLACK SKULL.,0.017,0.5163,8.3726,0.014927,1.94
LUNCH BAG  BLACK SKULL.,LUNCH BAG PINK POLKADOT,0.017,0.2749,8.3726,0.014927,1.3338
WOOD 2 DRAWER CABINET WHITE FINISH,WOODEN PICTURE FRAME WHITE FINISH,0.0146,0.4339,8.3258,0.012858,1.6745
WOODEN PICTURE FRAME WHITE FINISH,WOOD 2 DRAWER CABINET WHITE FINISH,0.0146,0.2804,8.3258,0.012858,1.3428
LUNCH BAG CARS BLUE,LUNCH BAG DOLLY GIRL DESIGN,0.0109,0.2067,8.3224,0.009629,1.2293
LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG CARS BLUE,0.0109,0.4405,8.3224,0.009629,1.6928
60 TEATIME FAIRY CAKE CASES,PACK OF 72 RETRO SPOT CAKE CASES,0.0138,0.2683,8.2871,0.012136,1.3224
PACK OF 72 RETRO SPOT CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.0138,0.4263,8.2871,0.012136,1.6533
PLEASE ONE PERSON METAL SIGN,GIN + TONIC DIET METAL SIGN,0.0154,0.3562,8.2219,0.013492,1.4859
GIN + TONIC DIET METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.0154,0.3546,8.2219,0.013492,1.4825
LUNCH BAG SUKI DESIGN,LUNCH BAG CARS BLUE,0.0118,0.4342,8.2031,0.010351,1.6739
LUNCH BAG CARS BLUE,LUNCH BAG SUKI DESIGN,0.0118,0.2227,8.2031,0.010351,1.2516
JUMBO BAG RED RETROSPOT,JUMBO BAG PINK POLKADOT,0.0201,0.2612,8.1659,0.017611,1.3103
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,0.0201,0.6274,8.1659,0.017611,2.4777
60 TEATIME FAIRY CAKE CASES,PACK OF 72 SKULL CAKE CASES,0.0139,0.2708,8.0193,0.012194,1.3251
PACK OF 72 SKULL CAKE CASES,60 TEATIME FAIRY CAKE CASES,0.0139,0.4125,8.0193,0.012194,1.6146
PLEASE ONE PERSON METAL SIGN,HAND OVER THE CHOCOLATE   SIGN,0.0142,0.3291,8.0168,0.012421,1.4293
HAND OVER THE CHOCOLATE   SIGN,PLEASE ONE PERSON METAL SIGN,0.0142,0.3457,8.0168,0.012421,1.4625
TEA TIME PARTY BUNTING,PARTY BUNTING,0.01,0.4944,7.9416,0.008743,1.8547
PARTY BUNTING,TEA TIME PARTY BUNTING,0.01,0.1607,7.9416,0.008743,1.1673
WOOD 2 DRAWER CABINET WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.0149,0.4417,7.9303,0.012998,1.6913
WOODEN FRAME ANTIQUE WHITE,WOOD 2 DRAWER CABINET WHITE FINISH,0.0149,0.2671,7.9303,0.012998,1.3184
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO BAG STRAWBERRY,0.0135,0.3717,7.9258,0.011833,1.5169
JUMBO BAG STRAWBERRY,JUMBO BAG PINK VINTAGE PAISLEY,0.0135,0.2888,7.9258,0.011833,1.3548
PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETRO SPOT CAKE CASES,0.0117,0.2562,7.9146,0.010185,1.301
PACK OF 72 RETRO SPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.0117,0.3601,7.9146,0.010185,1.4916
LUNCH BAG PINK POLKADOT,LUNCH BAG WOODLAND,0.0111,0.3383,7.8382,0.009689,1.446
LUNCH BAG WOODLAND,LUNCH BAG PINK POLKADOT,0.0111,0.2573,7.8382,0.009689,1.3023
JUMBO BAG PINK VINTAGE PAISLEY,JUMBO SHOPPER VINTAGE RED PAISLEY,0.0147,0.4037,7.7803,0.01282,1.5901
JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO BAG PINK VINTAGE PAISLEY,0.0147,0.2835,7.7803,0.01282,1.3448
SCOTTIE DOG HOT WATER BOTTLE,CHOCOLATE HOT WATER BOTTLE,0.0153,0.3425,7.6771,0.013303,1.4532
CHOCOLATE HOT WATER BOTTLE,SCOTTIE DOG HOT WATER BOTTLE,0.0153,0.3428,7.6771,0.013303,1.4537
LUNCH BAG SUKI  DESIGN,LUNCH BAG WOODLAND,0.0105,0.3309,7.668,0.009093,1.4301
LUNCH BAG WOODLAND,LUNCH BAG SUKI  DESIGN,0.0105,0.2423,7.668,0.009093,1.2781
NO SINGING METAL SIGN,PLEASE ONE PERSON METAL SIGN,0.01,0.3298,7.6469,0.008722,1.4277
PLEASE ONE PERSON METAL SIGN,NO SINGING METAL SIGN,0.01,0.2327,7.6469,0.008722,1.2636
LUNCH BAG  BLACK SKULL.,LUNCH BAG WOODLAND,0.0203,0.3296,7.6382,0.017667,1.4274
LUNCH BAG WOODLAND,LUNCH BAG  BLACK SKULL.,0.0203,0.471,7.6382,0.017667,1.7739
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,0.0113,0.2073,7.6346,0.009821,1.2272
LUNCH BAG SUKI DESIGN,LUNCH BAG SPACEBOY DESIGN,0.0113,0.4163,7.6346,0.009821,1.6197
LUNCH BAG  BLACK SKULL.,LUNCH BAG SUKI DESIGN,0.0128,0.207,7.623,0.011088,1.2267
LUNCH BAG SUKI DESIGN,LUNCH BAG  BLACK SKULL.,0.0128,0.4701,7.623,0.011088,1.7708
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO BAG STRAWBERRY,0.0161,0.3546,7.5617,0.013949,1.4767
JUMBO BAG STRAWBERRY,JUMBO  BAG BAROQUE BLACK WHITE,0.0161,0.3428,7.5617,0.013949,1.4526
WOOD S/3 CABINET ANT WHITE FINISH,WOODEN PICTURE FRAME WHITE FINISH,0.0125,0.3937,7.5529,0.010847,1.5633
WOODEN PICTURE FRAME WHITE FINISH,WOOD S/3 CABINET ANT WHITE FINISH,0.0125,0.2399,7.5529,0.010847,1.2738
WOOD S/3 CABINET ANT WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.0133,0.4192,7.5274,0.011546,1.6259
WOODEN FRAME ANTIQUE WHITE,WOOD S/3 CABINET ANT WHITE FINISH,0.0133,0.2391,7.5274,0.011546,1.2724
PACK OF 72 RETROSPOT CAKE CASES,PACK OF 60 PINK PAISLEY CAKE CASES,0.0124,0.3423,7.5236,0.010756,1.4513
PACK OF 60 PINK PAISLEY CAKE CASES,PACK OF 72 RETROSPOT CAKE CASES,0.0124,0.2727,7.5236,0.010756,1.3251
LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND,0.0141,0.3246,7.5214,0.01222,1.4167
LUNCH BAG WOODLAND,LUNCH BAG RED RETROSPOT,0.0141,0.3266,7.5214,0.01222,1.4204
JUMBO  BAG BAROQUE BLACK WHITE,JUMBO STORAGE BAG SKULLS,0.0106,0.2335,7.5064,0.009176,1.2641
JUMBO STORAGE BAG SKULLS,JUMBO  BAG BAROQUE BLACK WHITE,0.0106,0.3403,7.5064,0.009176,1.4471
